,sentiment,content
23323,fun,"@Sally_E u work hard Sally  Not sure i can muscle up the courage to go on my own, it will be hard without you laughing at my unco-ness"
8293,fun,Molly keeps punching me cuz she sees yellow cars. I'm gonna be covered in bruises. I don't like this game
19459,fun,The nocturnal serendipity... Kashmir is an important means to that end...
23433,fun,Jimmy Eat World's initials are JEW....new favorite band
22106,fun,@RubixSquare Think of getting a job this way - only another 50 years now until you can retire  or the otherway (my way) 50 years of fun!!!
28070,fun,just got home from the gym..tennis first then badminton.ehehe!
29006,fun,"@Bout14  Yeah, I only drank a little bit anyways. It definitely was the show and not the drink!!"
27570,fun,"@lucascruikshank http://twitpic.com/4i2zu - wow, thats so cool!"
28069,fun,"@emmaemelie haha thanx.. now, twitter is a lot more public at YBC than i presumed"
22504,fun,@DannyjClayton star wars ............ is gay BOO??? i wanna do your job HAND IT OVER  u can act as me at my high school   LOL
21806,fun,In a Drill Sergeant's voice: everybody wake the fuck UP!!! *flicks on everyone's lights* it's 500 est rise and shine beetches!! Lol JK
27028,fun,@blueskiesxj  i like yours too   i enjoy your photography. =]
23875,fun,finally Mike0hh's birthday &lt;3 can't wait to fucking ruin it
13028,fun,@hannahbananalee talk about drool - the Canon EOS 5D Mark 2 is *amazing*.  Too bad it costs $2k...  http://tinyurl.com/63qoz4
20453,fun,@amber_benson Looks like fun doing the Macarena with a live band!
25737,fun,@SarahAMurdoch unless you're gretel killeen apparently. you did look pretty damn good
24922,fun,@shortyyyy Aww how cute! You'd love my bathroom  http://twitpic.com/4jez4
11615,fun,Draven's elbow met cement this afternoon  Looks nasty.
26749,fun,@FunderCats Munderday. I like that.
29804,fun,@kirstiealley  Your such a riot!!    You go girl!!
9483,fun,"@TomGriffola Not a fan of the Bulmers, but the Magners pear is AWESOME, I want slush puppy though!  #Hurryup #classy #omgimpatient!"
5211,fun,"And figuring out how to watch Middlesbrough games next year, after the dreaded drop."
7193,fun,boo! i can't sleep again  saying hi to random people
24355,fun,i'm yours.  hahahaha jason mraz &lt;3 lol
26191,fun,@dannywood guessing... Ran 4 miles &amp; gym? Superman you  oxox
17655,fun,Ate huge set of Appetizers. full now
29686,fun,Listening to Obama with one ear &amp; listening to music with the other
3687,fun,home sweet home? i think no! huaaaa
7668,fun,@misskitty05 i wish i had a 12hr nap!!  lets talk rachel into getting one of these now.. lol
20459,fun,"I know what would make me really tired, put me to sleep and I would sleep good!  ...RICE!!! Lmao!"
28260,fun,shake shake shake shake shake it
27829,fun,@Mofette briliant! May the fourth be with you  #starwarsday #starwars
24913,fun,working from home office today and catching up on everything except twitter
12483,fun,someones dead on army wives. Dad just laughed and Mum got annoyed with him. I wanna watch Britains Got Talent
21598,fun,"@littletiara aha i bet they are cute,should we wear our nu **at  the same time so  i cn show you mine,u cn show me yours"
3712,fun,TWEEEEEET! good morning twitterland! going to work at 1 so need to keep packing and cleaning this flat! move out in t minus one day
23482,fun,"@stripedshirt errr ok, most people have their espressos in the morning, ice latte at noon and warm latte in the evening!"
28193,fun,Bed def beat out gym this morning  .....still snuggling w Spike.
24772,fun,"Come on all you lovely fans Number 14 in the Local pop Charts  Let launch an assault on the number 1 slot!!! www,reverbnation.com/suki ..."
7954,fun,This morning I rode behind a guy with a bird cage containing a plastic Tyrannosaurus rex attached to his bicycle. I couldn't get a photo.
21290,fun,Just got home from my date omg so much fun im excited
23151,fun,"@ankitbathija Did we hear our name ? Thanks Ankit, get them on to our parlour   #HokeyPokeyBandra"
471,fun,"i should be finished.... but i'm not.  color drawing, here i come."
5348,fun,@ColinOLN i'm trying to make myself like it but i haven't been successful so far. haha
19287,fun,@WayneDaStar that's a mess  I'll look for it next week
5800,fun,Picking up a couple toys tonight! D300 and 50mm f/1.4! YAY!! :-D Just for the weekend though
29676,fun,Off to dinner with @rademach &amp; his fam.
20778,fun,Happy Star Wars Day. May the 4th be with you!  Nice that we get a holiday to celebrate  #fb
13939,fun,"PKU meeting in London, ON all day today.  One of my favorite PKUers Jessie not there.   He has PKU and Leukemia and was in the hospital."
22336,fun,@LeelooDogBlog it means that you are now FAMOUS. Congrats!
28326,fun,"says livejournal is being a bee-eye-tee-see-hedge. Dum dee dum, ok back to work!"
7666,fun,*pokes and runs away* ... I WANT SUGAR !
2256,fun,there are # days of summervac &amp; school comes along just 2 end it &amp; the annual problem of r generation is finding a good way 2 spend it!!
21252,fun,Updating my iPod and downloading new songs.
22641,fun,@unpolishedgem I love avocado shakes!  Especially so when blended with gula melaka and a touch of santan... noice
28135,fun,@north385com Well I'm obsessed w/all of them - but I watched the first one again last night  glorious! where can i get a wand?
20225,fun,"@RealBillBailey haven't read that book, but heard of it. Feed, spay, love is a great motto for pet owners  although there is more involved"
18742,fun,"Dayum, tweets r coming fast, so likely missing a lot.    Plz DM, k?  Oh, is @rod_stewart 4 real?"
13824,fun,@LadyStar88 Lol...I am greedy. I'm craving Coldstone again.
25073,fun,"@MattLewisMusic lol we are going to place called frosties its a soft play centre it knackers them lol, then i get peace for the gym  lol"
3997,fun,Ulcer the Musical! It's ulcer-rific! uls-tacular?! Stomach bleeding fun for the whole family!! (apparently even two drinks is a no no)
26645,fun,"@dougiemcfly : dougie, it's coffee. There's no &quot;I&quot; on coffee. Hahaha and your name comes up as predicted text. Pretty awesome"
11978,fun,it's friday! trying to find something to do
20668,fun,Really this time. G'night. I have my new song of the week in the morning!
28391,fun,high &amp; dry goin to have an ice cream now with my best friend.
12044,fun,"now it's weekend! It's so great!  I saw the rest of Twilight tonight, and i also have read fininsh  Break for know.. Could I do that?"
5669,fun,really wanted to go to that gig tonight
25563,fun,@mcrfash1 cool  what did you get?
22461,fun,"Is at coffee bean, met Dean"
8381,fun,4 more days until my birthday!!! I don't want to get older
26201,fun,"@IncomeDiary Sure, its easier to login every day and make posts as an admin or mod, but ill try"
12384,fun,getting ready to babysit
15250,fun,football in the sun has owned me
24575,fun,Woo - got a fast mobile broadband connection now
28144,happiness,@scottrmcgrew *dancing pirouette ballerina HUGS*  Morning my Awesome brudder!
16354,happiness,@montiAsutton I wish I could really do that  I love having u around! Ill see what I can do.. ;) try to use that national champ pull lol
26454,happiness,Got 5 new followers yesterday! Yay  Just need 11 more til 50
8392,happiness,currently playing... part of the list
29745,happiness,"Family guy reruns, food, and, good phone conversations  ah, saturdays."
25525,happiness,@IngridHolliday good morning
27177,happiness,@JAJMiami  Happy Monday!!  Hope you have a great week!
26922,happiness,@TackStoreLady I'm coming in today to get my other hat and my $5 credit!
13540,happiness,"@HoptonHouseBnB Sorry, not meaning to complain, feeling rough and heat getting to me again tonight  Would love to be visiting India though"
27843,happiness,Happy Star Wars Day to you all
6279,happiness,Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me
16812,happiness,toy story 3! june 2010. i can't wait that long.
28402,happiness,"Good mornin. Today will end early, woo. Gonna work on rick's surprise PROJECT DUE ON TUESDAY"
18485,happiness,"@bztak1020 actually, my friend gave me the files today! lol but those are all CDA files... do u know how to convert them to MP3?"
26968,happiness,@auflutterfly Thanks! I registered
27551,happiness,Little one's cast is taking a beating. It is starting to show some wear and tear and it has been on less than a week. She is too active!
21053,happiness,@rhettroberts haha best thing about office birthdays hey
29335,happiness,@natashabrown brad's face when he saw that gift is priceless!! Thnx Nat!
22662,happiness,@SheridanPaige loool sheridan ive got swine flu but im still coming into skl tomorrow same way  hehe
21028,happiness,who has a day long text conversation? me.
20771,happiness,chillin with christina and diana
28953,happiness,"@FollowMyJourney Oh girl, get that baby going to bed at 7pm!"
23606,happiness,@AceConcierge Glad you got there safe &amp; saw your daughter.  Enjoy your time there!
3288,happiness,Such a nice day...and we're all working
25487,happiness,Employee orientation for serco  yayy.. I'm excited/nervous!!!! Wish me luck!
20193,happiness,"@MrMaxROI Hey, it's good to see you here! Will now follow you. Would be nice to have a photo!"
17543,happiness,@Cadwaladr omg yes!!!!!!! but I have to get ready for work early tonight  I have payroll distribution duty
24851,happiness,"@Sierrasnowboard under a week delivery to OZ, awesome product, awesome prices. The parcel today made my day"
15746,happiness,"today i was so happy got i got off school early, but now i'm bored!!"
20924,happiness,"mondays agenda: last class/final of the semester, work, sorority meeting, happy hour."
8747,happiness,is enjoying the nice weather but has been stuck indoors writing an essay for most of it
19764,happiness,enjoy the laker game for me guys! since i'll be at work
29650,happiness,"@emmielovegood Nope, I'm on my way home now."
28699,happiness,"@tenotch awesome, I'm glad you like it.  FYI - Platinum Notes 3.0 should be out as a free upgrade this summer"
18524,happiness,"Not going to Suffolk tomorrow.   However, now MB &amp; I are planning a picnic on the Mall with friends Neil &amp; Jodi."
5013,happiness,@NikkiBons Happy Birthday Dork!! Lots of love for you today!!!  I wish I was there so I could buy you a drink   Make it a great night!
25167,happiness,"@JustinBazan Maybe because you got in 4 hours ago from an awesome night? Nah, that can't be it."
10431,happiness,Going to @LittleSkillet for lunch today with @earth2andy. Who's in? I still need to hit the ATM.
1987,happiness,"My life what a beautiful morning, i can think if no better way to ruin it than by being at work"
24388,happiness,@aulia &quot;alternate means of acquisition&quot; sounds sorta noble
21641,happiness,@tommcfly i am glad cos u wouldnt lose me as a fan anyway  i get to see you guys on saturday evening at leicester  it better be good!
26328,happiness,"@butterflydi i'll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all"
27504,happiness,@DavidArchie Shoping till you drop david..haha..enjoy your day
246,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
21796,happiness,@khriskhaos aww preciate the loves hunnie
25825,happiness,@twlux_e thanks for following me. Nice to meet you
28497,happiness,@jeg007jeg yay  coutch:couch
28415,happiness,"@juliannebritton Ohhh, i really want to see Coraline, it seems really good"
5930,happiness,@_Enigma__ OMG daon't tell me you have watched twilight enuff to know that !!
1010,happiness,so carlie came over and she fell asleep on me
27742,happiness,@CursedJezzy Thanks for the mascara input. It's appreciated.
23292,happiness,"@guybatty Yes,it's beautiful and i'm fortunate to live in the thick of it..Very relaxing"
12795,happiness,in Mallorca. Want to play guitar   When i come home I'm going to buy the mcfly dvd first :]]
6280,happiness,@josemarques I don't feel like having to reboot  If only OSX supported Hibernate &amp; Reboot in Bootcamp... -.-
25292,happiness,coffee. gym. studio.  story. of. my. life. these. days.     so grateful.
29017,happiness,my dad and i totally just rocked out to the offspring-pretty fly for a white guy. haha.
28484,happiness,Happy Star Wars Day. MAY THE 4TH BE WITH YOU
9156,happiness,"@tashababyyy i'm getting them this weekend. aw, i really want you to!"
20006,happiness,"@sai_shediddy lol , you gotta share too"
6440,happiness,Hallooo bayern!hallooo stau!
25437,happiness,afternoon. have the first rehearsal with this (extremely talented) singer-songwriter today. wish me luck
20944,happiness,Watched Kunguma poovum konjuma puravum... Liked it very much!  excellent cinematography!!!
28186,happiness,@tractorqueen Will do
27070,happiness,@twitlonger Hi x Your websites soo cool i love using it  Thank you
27753,happiness,Morning workout sesh.  Love Life.
5392,happiness,"I want dazzle,"
17067,happiness,@jenniferdodd I'm out of town next week   We'll have to party when I get back. Happy early Birthday!
22412,happiness,@jocalling hope our wishes come true someday.
12150,happiness,@iFelixGonzalez really?!?! It looks like its going to rain here but its all just gray.... La is a bummer sumtimes
20395,happiness,Would really like to buy death note 1 &amp; 2 later this week  I loved those movies!
5342,happiness,So I get up early and I feel good about the day. I walk to work and I'm feeling alright. But guess what... I don't work today.
28682,happiness,@EverRaven I figured you'd be bouncing about it
27272,happiness,@HiveMindMovie and Miss Fizzy Duck loves Hive Mind too
24623,happiness,it was a hard weekend. too much alcohol on these fuckin &quot;weinfest&quot;
26682,happiness,I hope everyone had a great weekend! I will be here on and off today as I have 2 important meetings today
27971,happiness,"@spumante hahaha! Yes, I do"
26353,happiness,@dougiemcfly   god peppermint mochas frappachinos are amazing...  and addicting
22402,happiness,"@LittleFletcher happy #juddday, carrie"
24208,happiness,photo session + mother-daughters bonding session = happy me
20052,happiness,@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course!
28442,happiness,"@SWrightBoucher Hi Susan, read your blog.  It's really good.  I look forward for the tweet updates"
27434,happiness,Heather is awake now
24376,happiness,"WANTED: New liver and kidney, glass of wine would be good toooo"
2287,happiness,@drewpeacock85 cool dude! yeah i was hoping your rate was still $2.75. lol! yeah not sure when ill mar and par for my birthday dinner.
22216,happiness,@work again thanks to my dear neighboor who also gave me coffee when I needed it. She is the best
26862,happiness,@darrendoyle Oh I had lots put on my desk during those years  I guess if they've done it to you then it would be ok to do it back lol
24335,happiness,@utterhip U r welcome pal  u truly deserve 2 be followed
21259,happiness,"@Ciaee Yessir, yessir, three cheeks full."
25987,happiness,gonna get out in the sunshine
24651,happiness,i can be a good girl at school.. today i was!! i did it!! yayy
20066,happiness,New @shackletonmusic single bought! It is awesome!! Well done boys!
21874,happiness,"@MrFloydNL  thankyou very much, you rock!"
23077,happiness,Time to snuggle up in bed with the electric blankie on
20392,happiness,@johna404 Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
18240,happiness,@ToxicSociopath awww. well before we know it youll be back visiting XD we will hang out constantly and have another heartbreaking goodbye
20982,happiness,@kadambariyer thanks.. that was quick..
25594,happiness,@Hyperopia feeling better now that it' breakfast time
26417,happiness,@dannywood glad u could check in with us today. keep in touch.
20107,happiness,For @mizhalle  ? http://blip.fm/~5jbp3
23806,happiness,Flickr pics Chester Zoo: danwtmoon posted a photo:   &quot;WELCOME&quot; to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8
22894,happiness,"Hurray! &quot;Summer-time&quot; starts today, meaning I only have to work until 4 pm, instead of 4.30. Until August! Yay!"
27695,happiness,@daniamiwa Were you at the parade yesterday at Powderhorn? Guessing Ava and Bella were similarly mesmerized by the whimsical fairyness
13928,happiness,@stonezoneshow http://twitpic.com/67gwh - bwahahahahahahaha nice!  I want a doggy
22965,happiness,@Doc_the_BigMan hey! Ive never caught enyone on live before!
29239,happiness,Almost dun choreographing the dance
14249,happiness,@MrAhrenSean lol! ok ok it is a little absurd... lol but my mini and open toe heels won't make it in this weather
20403,happiness,Ay dios mio! 2 weeks left of college!!! AH CAN'T WAIT!!
25159,happiness,"Hoisin duck pizza, salt and pepper pizza and gelato for dinner with Edmund and Jade. Good times!"
21475,happiness,on my way home from school  lol in my car and so tired!
25124,happiness,@thriftymommy - I enjoyed seeing EVERYONE that presented on Saturday at the Clark Howard event - Especially the 3 pre-clark speakers
15916,happiness,show was amazing. so cold out now  hope I can give victoria my card and get my dvds back ;) ha
26046,happiness,Yes!! i has 100 minutes of Sims 2 plus Seasons  ) fun fun expansions
23580,happiness,Oh oh! Going shopping with my best friend today! Yaay! Going to be so much fun  Need to get alot of new clothes..
8848,happiness,"@gnimsh forgot to answer your kindle question yesterday. honestly, haven't used it much. have two paperback books i want 2 read first."
28513,happiness,Well it would seem that you can enter nine 0s if you are an Individual without a SSN/ITIN or EIN according to Apple.  Hurray!
29079,happiness,@Lizzs_Lockeroom Maybe   But you start to really like a team after living 12 years in the city.  Was there for 2 Cups.  Awesome!
6446,happiness,@ShannonGrissom @grannypig #followfriday thank you!  I'm still not even close to what I had as @GottaLaff
27465,happiness,Happy Star Wars day!!  unbelievable
24818,happiness,@FutureClassics Ben and Jerry...yummmmy!!!
6628,happiness,"Oh great, Radio Disney doesn't crash with the latest webkit, so my kid can run it again. HEY WAIT."
8388,happiness,@AmongstStars awee!
20202,happiness,tafe was actually quite good. for once
5367,happiness,@cc_chapman #whuffaoke is the same night as @ACDC at Gillette Stadium!
17358,happiness,Glad to be home I wish I could make @CBrown7785 feel better
29179,happiness,Awesome night ahead: BAD v Rat City! Most of my favorite skaters on one track  #fb
13403,happiness,@joshuawoodard happy birthday man! my ride to the wedding  i'll see you guys soon though. you play here JULY 27th!
28248,happiness,"No Evidence, No Conviction ! Absolutely hilarious.. Makes my day every time  http://bit.ly/lrolJ"
22162,happiness,@taylorswift13 Hey Tay!! Plz can u write hey elin to me? Im sick and if u do it I feel better!
4979,happiness,Last night was fun w the lightening and thunder  Today will be in the 90s
27144,happiness,It's soupy-soup time. Today: Heinz Cream of Chicken and Mushroom - yum! bbl
15883,happiness,@Pettles i know!! i can't believe it  it says on their bleedin song- donnie raps it!! tut
21016,happiness,Up and washed  I'm clothing myself as I type xD WOOOO
26130,happiness,I like taking my dogs with me in the car when I run errands. They are always excited to go anywhere. like this morning to Krogers.
8482,happiness,"Wearing exactly the same clothes as I used to wear in Canada, beanie (or touque) and all.  Ahh brings back memories... I miss the snow"
26407,happiness,"@Elise_Smith they are very yummy, i'm eating one too!  BAGELS!"
21067,happiness,@aimzsta hehehehe oh i love the Purate ENglish sooo much
24548,happiness,"@Nextread I agree, keep it in Star Trek but make it commercially viable! C'mon!"
27875,happiness,from last Montday's award ceremony  http://twitpic.com/4jkvl
7066,happiness,http://twitpic.com/66uq4 - hotttt weather! getting blackk before it starts to rain again
16432,happiness,Six feet under theme is on jjj
25862,happiness,"@taylorswift13 woah that's cool  just landed in London about 2 and1/2 hours ago.I LOVE the scenery, beautiful ,"
2120,happiness,@mileycyrus I would totally take you to prom...if i hadnt already gone  sorry lol
29936,happiness,@DiamondBlue hehehe!! Are you tryna find another condom  better get u for boxes cuz ima take u thru all of em
23175,happiness,CAPONES island in 2 days!!! my summer is just starting...
27892,happiness,@latinavanessa I'm sooo ready for a beautifyl day
25125,happiness,Just got to school. Goin to Cinncinatti Wednesday!
24073,happiness,I've just realised - 400 FOLLOWERS! YAY!  xx
14498,happiness,@travelingcircus Oooh you just spoiled my teenage fantasy
3917,happiness,"Finally, a beautiful, sunny day in Atlanta. Too bad I'm stuck inside working..."
29005,happiness,Just shot my new .22 rifle!  The auto-reset plinker target I built in shop class works great!
21691,happiness,bali!! can wait for it
29253,happiness,@TheMadModel Soooo happy your back!
29489,happiness,"It's a Peter &amp; Gordon morning  -&gt; And I, go to pieces and I wanna hide / Go to pieces and I almost die / Ever... ? http://blip.fm/~5yk38"
22616,happiness,"So proud of cg, took 5 yrs in the making to get that number 1 spot  gnight twitter bugs...time to read myself to sleep."
16504,happiness,"BBQ's gone well ! Weather stayed good which is a right bonus. Just off to bed, training in the morning at 06:30 then work"
22673,happiness,@saraesse right on!  i'm 29 myself... i turn 30 in october. i think that pretty much makes us awesome
6851,happiness,@OakMonster I hear ya.
27120,happiness,@clyp1976 thanks!! I definitely will! The next season will be rainy and it comes in two month's time!!
23305,happiness,"@katoi awww, a very happy birthday to him"
11583,happiness,@mileycyrus  they closed the voting...all u can vote for now is best movie  Hope you win it! My 4 y/o Daughter lovesss 2 sing &quot;The Climb&quot;
25951,happiness,FRIENDS COMING TONIGHT! Hopefully the weather will stay nice
27445,happiness,"@mcflyyerr yess, they came to amsterdam on the 18th of april  best night everr! have you?"
6429,happiness,Nt able to follow anyone  friendorfollow.com here i come!!! #itsucks
21673,happiness,"study all day.  just finished my care plan.  hungry as hell!  ima go treat myself with a burrito, for a good days work"
20002,happiness,"@saraLDS Thanks for that, Sara"
29422,happiness,"stealth shopping - got wife b-day present while at mall together and she didn't notice - buy, hide it in car, back before she missed me"
25663,happiness,@MR_Bill2030 And good morning to you too.
20132,happiness,"Well Done , Visteon Belfast, 2 years salary paid. Just shows what happens when you stand up for yourself"
25244,happiness,@leifreak8 Hi Miss.  Isabelle here. :]
1465,happiness,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.
5816,happiness,"is in class, trying to listen but I really like twitter, facebook, .&amp; myspace  oh yeaaah .&amp; I'm hungry!"
19277,happiness,@lolbethie that sounds great right about now. It's ridiculously hot in my house
27204,happiness,@coollike http://twitpic.com/4jg09 - haha she looks a little like u charlie lol
28580,happiness,Nina's High: Hanging out with Ninah and Taylor all day! theyre AWESOME  and getting to go home tomorrow to see my MOM  Nina's Low: NADA
21492,happiness,big shout out to all my home girls you know who you are
21981,happiness,"Weather is lovely, I'm headed home via supermarket. Planning to spend some quality time knitting tonight."
26015,happiness,@elle6503 Woo Hoo.!  I made it to one of your Favorites!  See.... Monday's Rock!!
26313,happiness,@SoulSistaNindy what did someone do? and good morning
24227,happiness,http://twitpic.com/4jdtx - Springtime is nice
20558,happiness,may the fourth be with you! happy star wars day
12631,happiness,she made my sister cry too hahah. bless her.  i hope she can do it again.
22577,happiness,The wedding couldn't have been more perfect
8312,happiness,"went and got a pedicure and a manicure 2daii!!!! and den sunbathed all daii!!!! BEST DAY EVA!!!!! oh yeh,....did a teeny bit of study"
27042,happiness,"@mafeinberg At least you have a large vocabulary -- the benefit of being a writer   Hope you're well, sister."
28053,happiness,On an operations conference call with the great peeps @campusadvantage team. Y'all make Mondays a bit easier to handle.
29233,happiness,@LILJIZZEL hahaha! YES I AM!  Lil Jon is the freakin jizzle! U know I named my 1st puppy after u? Lil Jizzle...remember? LOL...xoxox
24676,happiness,Yum! Whole box of cookies for me
7421,happiness,@skybluetom4 Ha Ha thanks Tom! I'm such a loser! Hopefully going on the 22nd June till 3rd July...what date u goin? u missing helen?  x
29635,happiness,nursing my scratches and bumps from Festivus mud wrestling. I swear there's still dirt in my hair but a good time was had by all
11852,happiness,"@davidjosman, a 74 is not &quot;quite alright&quot;!  on the plus side, I ate cinnamin toast crunch for breakfast, and am now eating strawberries."
22713,happiness,"BARA, BOOBS, CLOSETS, ADVENTURE. AGGGHHHH ENOUGH! Muak mcm baby Gary ku sudah"
12188,happiness,@Alitaluna Hey workaholic! =P lol...jus wanted to say hiiii....i always tell ash to invite u over but she says ur always working lol
21671,happiness,@uyaerdna thanks
25515,happiness,@ncteacher77  I appreciate you
22634,happiness,"oh happy day!!! nice weather, smiling, happy baby and icecream later"
24247,happiness,@vampirefreak101 Haha ^^ Thanks
293,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
26346,happiness,@RX2904 Nice! You should submit that to failblog.org
28888,happiness,pythonkings.nl    equals ----&gt;       almost better than the sims....
21003,happiness,@ddlovato Your second episode of Sonny WAC was on in New Zealand tonight. You were (and still are) AMAZING! ily  xx
21059,happiness,"Haha! just overheard on the us. 3 yrold to mom &quot;mom, I think I should learn to read today&quot;"
24406,happiness,finish some sketches und then go out an skate! Yeeeehaaa! got a new deck
1734,happiness,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*
22243,happiness,"@ItsKanye tnx following, looking forward to tweet with you.."
21602,happiness,"oh, it's @andremichelle 's birthday! happy birthday andre michelle"
7729,happiness,@skinnymarie and guess what ! ive got 20 % ! wow its impossible
6359,happiness,"@KimberlySMoore It's good they're realistic, but I still don't like thinking about it!!!"
1494,happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer
6470,happiness,I'm packed up &amp; leaving my Canterbury office &amp; my fab QA&amp;V colleagues for the last time   A great bunch of people. I will miss you xx
27211,happiness,@toddkashdan thanks Todd. Enjoyed reading your blog too - I had a little cheer for good old Alfred Wallace. Curious to read your book
21289,happiness,"Hah! I saw the Wolverine last night!!! Now I can die happy, well not yet though, got a few things to get done first, but was my MoY"
21078,happiness,man.....i'm at a loss for words.....looks like i'ma get an unexpected graduation gift.....in a good way
22126,happiness,We just hit 10000 views on myspace! Thanks everyone!
27938,happiness,@EmilyYoung09 havin fun? x btw isnt it bowling? x  xx
22314,happiness,"@vickytcobra wooo what a fight !!! goooo Vicky , i am with you"
22085,happiness,new phones just arrived in the office. not much else is gona get done today
27003,happiness,Went outside and picked flowers with Marina! i love picking flowers haha
29403,happiness,Reds win! Great end to a great day
17525,happiness,@Colie5cent $300 later... I feel so good! But guilty
26170,happiness,Good Morning Twitter Bugsssss 8:48am and my day starts nowwwww
25242,happiness,@torenheksje Thanks for the Retweet!
20100,happiness,"Just hangin out at home, watchin twiligghhttt ( and readin it (AGAIN!!) lol School sukked today Bahaha"
16030,happiness,@quirke I wish he was still around.   there was a litter under our azalea. I caught DD in the back yard @ 6 am with bunnies in her lap.
20810,happiness,nice weather today in Alex
24412,happiness,@trekkerguy Have already had a great day!  Enjoy your Weeties!
29416,happiness,What a beautiful day! Hangin with the guys Graham and Josiah  lol waiting for the others. If you wanna stop by come on over ;) with food
22208,happiness,"@stayingyoung I usually do if there is choice, but I am lucky in that most foods I love are generally very healthy (except ice cream!!)."
12416,happiness,FRIDAY so freakin happy today was an annoying day  buuut WEEKEND! TGIF&lt;3
29677,happiness,"It is so warm out this evening!  And I just met my new neighbors, they're so nice."
28247,happiness,@SoldierBeetle Your welcome hun!    They are all amazing people - make sure to say hello to them!
22096,happiness,"had a great shot yesterday, editing pics now"
27101,happiness,"@StaceysJustFab blackberry messenger rocks! Its basically IM-ing with other BB users that u add, so like ur friends. Saves on texts"
22775,happiness,"off to the land of pillows and blankets... mm, and the fan up on high... and did I mention the blankets? my favorite time ever."
25214,happiness,"@petecooper Happy anniversary to you and @fluffymuppet! Hoping for many, many more. All the best from all of us"
25965,happiness,We*d Man On His Way     Yess!!    Time 2 Wake Up 4 Real  lol
27409,happiness,"@RealHughJackman You were absolutely amazing in the Wolverine  you're sooo beautiful !! you're also such an amazing person, i look up to u"
25091,happiness,@SirLP  It's just because it's May the 4th.   May The Force be with you  etc.  You've got to know your Star Wars to really appreciate
29972,happiness,I had a great date last night...tried to find the CDCaves with Daniel  it was HILARIOUSLY FUN!!!
28742,happiness,Less than 24 hrs until GRADUATION!!! Going out tonight to celebrate
24162,happiness,@XLesseyX good and you cup cake
13115,happiness,@welsh_lottie Not one of my favourite pastimes  This weekend is a long weekend here so Monday I'm off to an Ice Show w/ the G/daughter ;)
8296,happiness,"going out tonight, FINALLY. i wanty lie in the park but... cinema bound it looks"
22468,happiness,@sarahconquilla Many many thanks!!!  (it's about school!) Weeeee!!!
21148,happiness,"@CrystalJanee greaaat, do minee now pleaseeeeee"
23789,happiness,@thebraysmommy thx! Hoping it's a good week.
21471,happiness,@Steph_Atticus Thank you
26122,happiness,http://twitpic.com/4jh4l - I picked out a watch !! Yey
15018,happiness,"Latest: Saw Animal Collective in Oakland and they were AMAZING! Now, I am trying to clean my room"
22316,happiness,attics to eden out today !
3953,happiness,@TheMandyMoore good morning sunshine. sleepytown is sleepy.
21811,happiness,@tom_howarth hehehehe I will keep silent now
20332,happiness,"@pixelbase @steverumsby I care about Eurovision! And yes, they have a 50% jury-based vote this year  #eurovision2009"
23354,happiness,Good Morning everyone!  Have a great Monday!  Thanks for following!
26357,happiness,this is my second to last biology and the first time that i have ever been on time. Haha.
15321,happiness,Oh joy its gong to be a long weekebd... Yipee :*Â¡
7242,happiness,@luvinmycurves womp womp woooomp!
25918,happiness,"oh yes, happy star wars day.   May the fourth be with you..."
27232,happiness,"Wolverine was much fun, but Gambit was a bit disappointing.  Neither smooth nor Cajun enough for my taste. Pretty though"
22041,happiness,I've just about made it all the way round the park jogging. Quite pleased for my 6th outing
2189,happiness,@carocat Nooo  But hey you're back next week! Are you moving back for good?
24460,happiness,@dayv79 haha I just playing
29227,happiness,Chillen with Csla.. Waiting to start.. Watchin pacquiao rerun..
25351,happiness,@tommcfly I just read online the article you mentioned..meh.  I am very happy to be stuck on you and the guys--just try and get rid of me
9770,happiness,"it's been so nice all day, and now it looks like it's going to rain...just when i was getting excited about taking photos when i get home"
21544,happiness,Home from Disney...best time in a long time...howl at the moon tonight for GBA and then BHB Tuesday  oh drummer boy  niiight
14847,happiness,cba with exams! 17 left!
26055,happiness,Morning twitts heading home  had a great sleep over w. my bf Tennille!
20957,happiness,If anyone know anyone that made aliyah with the help of Nefesh BNefesh please contact me. I would love to talk with them.
28728,happiness,"@Turch Aww, congrats to the family. ;) Send me piccies in the email!"
23706,happiness,@DReinhardt1 ooooh it's you lol I didn't know!! Have fun with your princess
28508,happiness,@KevinRButters Excellent then Chiang Mai is definitely a possible next vacation stop! thanks for the info.
